id,name,label
fddab89bd3294ce08125ced897af187e,初中语文综合库,KnowledgePoint
40e61e4203fc4b1283d376b0cc1d8b2c,基础知识及语言表达,KnowledgePoint
d3ece0dec8504a9fbf07c753f327a864,字音,KnowledgePoint
30ada8d259e04e5e888f9085a982bdb7,字形,KnowledgePoint
8d9f2cd7f6bc4f7f999016668fc17610,词语,KnowledgePoint
80230cbe3a344a13830a65abb7341f28,语法,KnowledgePoint
af0bdf7885894e93a1a38d0fcd5aa86f,修辞格,KnowledgePoint
b2849515ba7849e5925f3110ca466511,成语（熟语）,KnowledgePoint
47e2518debc7490b88012085d67c9c51,标点符号,KnowledgePoint
d0c09f07655c486cb14bc27a07cbd0ed,病句辨析,KnowledgePoint
9af118b8ad444ab8b0143d2b591ac3dd,扩展语句、压缩语段,KnowledgePoint
5facd4a392654aa88bc58c1ae5b46cf1,选用、仿用、变换句式,KnowledgePoint
55237e8e539c499cb837c50ff4c16a92,句式衔接,KnowledgePoint
69acac1bcb2b41cba20611d79ff61506,语言的简明连贯得体,KnowledgePoint
bc3286eb6db54176880115f1e3477cb5,图文转换,KnowledgePoint
c47ebb82c71f4ef089e05f142077e629,课文内容理解  ,KnowledgePoint
6c82d79544f340bca81fb9db1483f533,书写规范,KnowledgePoint
93af5ead5dd147cfadd4eed9083a343b,朗读、节奏,KnowledgePoint
4367fe1fa8624650bb2b52c4a9186131,文言文翻译,KnowledgePoint
c6b9a35f23054ffeb6ecc2251eb60d92,字义,KnowledgePoint
f45c2e8b01ea4181aa1e7ae4c3c16513,文学常识及鉴赏,KnowledgePoint
14e532edc23146c0b6083a67a4a5d05c,先秦诸子百家,KnowledgePoint
609bdfc278224356aa9952fe7abee7a0,楚辞汉赋骈文（歌行、乐府）,KnowledgePoint
2850323b0131413ab8fc32622b9dc57c,历史记载类（二十四史、地方志、野史等）,KnowledgePoint
9a4e48527f504395871f79eb28296834,古代散文、兵法农医、天文术数、艺术杂学等,KnowledgePoint
a83169694aa04af4b253b959b4b4c605,古代应用公文类（含奏议、赠序、铭文、祭文等）,KnowledgePoint
8c3ad9b2d54e44e886107a1562a96c8d,近代文学,KnowledgePoint
76a06537b92b4512a898aa9297ee0fff,外国文学,KnowledgePoint
3168533751c4441b9c6fc21d3cb07090,诗,KnowledgePoint
9456d9ecbe10499d96046261887e65f5,词,KnowledgePoint
cacf218248b44c9dbdd772d4c10ff6af,曲,KnowledgePoint
2d34bb2fbe744595844025d674566815,小说,KnowledgePoint
59103419f3f24e5ebe6f41772966ad6c,作家作品,KnowledgePoint
f5e3857dfa9f48bcb9fffcf834a70bac,文言文阅读,KnowledgePoint
6ca875b91b41455c8ba079b3e3bcb87b,人物传记类,KnowledgePoint
63a74fee11fc4d75b367287db2afe3aa,历史事件类,KnowledgePoint
538ab8b8f51b45ec996b60dd879a19e3,散文类,KnowledgePoint
fb5bbf030e644e308f59004eba10fb3d,公文类,KnowledgePoint
15772178aa124eb08b723c0b6494ba57,现代文阅读,KnowledgePoint
6a38d9a95ac34a4e914501ec26c4ded7,记叙类文本阅读,KnowledgePoint
9ae2b8efc4834dab815862d728a102ab,说明类文本阅读,KnowledgePoint
e97941b0b87448b5b974e7c444c1fba6,议论类文本阅读,KnowledgePoint
5ca182801e0c4add93fb8fbdcec20c28,小说类文本阅读,KnowledgePoint
ec55e3d547d94f94839619517f7fb9f3,写景抒情类文本阅读,KnowledgePoint
08e3628e5720445e9148a71c0a41ea11,古代小说,KnowledgePoint
bfba33217ca2453c9a253b01581fd2cd,现当代小说,KnowledgePoint
56302d3337fa455b9b11d67791910405,默写，名著导读,KnowledgePoint
27e46a731e7f4c8d85b4ddf8cc69a8f9,诗,KnowledgePoint
4f8f51f87fbf47c6b2c42ec883432c6c,词,KnowledgePoint
288f4bd933e44586bf95371a231ef1b4,曲,KnowledgePoint
e2b753332d894ce2b9971b1df72d4eea,其他,KnowledgePoint
5dfce6a77fde496094f9dc084fc8a9c5,国内文学作品,KnowledgePoint
d7c9b0e99ea24f999efd66085e0bb788,国外文学作品,KnowledgePoint
46d0ef3e0ea84d269fc005725020e603,汉字或汉字拼音,KnowledgePoint
e80cdcbb582348408043d62a5c8db25d,作文及写作,KnowledgePoint
5477158919d14e5a85a838beb1b14309,命题作文,KnowledgePoint
7be6600c35db4b21b810366ba35e1df5,材料作文,KnowledgePoint
c1ebea250a2b4c4e86d4912f4f06db0e,话题作文,KnowledgePoint
acf0db8ae0134a68be189379c772486d,初中数学综合库,KnowledgePoint
9df4a1ceeace448bb5200eb0a7ebfef4,数与式,KnowledgePoint
5b066e867a6f45a3b00a5840e305f92c,有理数,KnowledgePoint
ecbf21c42f6d45d9993bb31aefa0ecec,正数和负数,KnowledgePoint
2b02546317cd4baa82b752780f02ad2b,有理数的加减乘除以及乘方,KnowledgePoint
